Stocks;Class
ABEV3;1
ABRE11;0
ABYA3;0
ACES4;0
AEDU3;0
AELP3;0
AESL3;0
AFLT3;1
AFLU3;1
AGEI3;0
AGIN3;0
AGRA4;0
AGRO3;1
AHEB3;0
ALBA3;0
ALPA4;0
ALSC3;1
ALUP11;0
AMAR3;0
AMIL3;0
AMLC4;0
AMPI3;0
AMRI8;0
ANIM3;1
ANPB5;0
ANTA4;0
AORE3;0
APPA3;0
APTI4;0
ARCE3;0
ARCZ6;0
ARLA3;0
ARNO4;0
ARPS3;0
ARTE4;0
ARTR3;1
ARZZ3;0
ASSM3;0
ASTA4;0
ATBS3;0
AUTM3;0
AVIL3;0
AZEV4;0
BAHI3;1
BALM4;1
BARB4;0
BAUH4;1
BBRK3;0
BDLL4;1
BEEF3;0
BEMA3;1
BERG3;0
BFCV4;0
BFRE3;0
BHEQ4;0
BHGR3;1
BIOB4;0
BIOM4;0
BISA3;1
BMKS3;0
BMTO4;0
BOBR4;-1
BPCO4;0
BPHA3;-1
BPLA5;0
BRDT4;0
BRFS3;1
BRGE12;-1
BRIN3;-1
BRKM5;-1
BRML3;1
BRPR3;1
BRTP3;0
BSEV3;-1
BSUL5;0
BTOW3;1
BTTL4;-1
BUET3;0
BVMF3;1
CABR4;0
CAFE4;0
CALI3;0
CAMB4;-1
CARB5;0
CARD3;-1
CASN3;0
CATA3;0
CBAG3;0
CBEE3;1
CBMA4;0
CBVI4;0
CCHI4;0
CCIM3;0
CCPR3;-1
CCRO3;1
CCTU4;0
CDOU4;0
CEBR5;-1
CEDO4;-1
CEEB3;-1
CEED3;0
CEGR3;1
CELM3;0
CELP7;0
CEPE6;0
CESP6;1
CETE4;0
CFLU4;0
CGAS5;0
CGOS3;0
CGRA4;0
CHAP3;0
CIEL3;1
CIQU4;-1
CLAN4;0
CLDX4;0
CLSC4;0
CMET4;0
CMGR4;1
CMIG4;1
CMMA4;0
CMSA3;0
CNFB4;0
COAR3;0
COCE5;-1
COPA4;0
CORR4;0
CPCA4;0
CPFE3;1
CPFG3;0
CPFL4;0
CPFP4;0
