Stocks;AccRet_20.csv;AccRet_5.csv;Accrual.csv;CapRate.csv;CapexSales.csv;CrescimentoHistoricoEBIT.csv;CrescimentoHistoricoEPS.csv;CrescimentoHistoricoSAL.csv;DividendPayout1Ano.csv;DividendYield.csv;EVAtivoTotal.csv;EVSales.csv;LogMarketCapital.csv;MACD.csv;MargemEBIT.csv;Mom10_40wk.csv;Mom5_30wk.csv;MoneyFlowVolume5.csv;PEG.csv;PrecoBookValue.csv;PrecoLucro.csv;PrecoVenda.csv;ROA.csv;ROE.csv;ROIC.csv;RSI_10.csv;RSI_14.csv;Slope_20.csv;Slope_50.csv;TendenciaCapexAtivoTotal.csv;TendenciaFixedChargeCover.csv;TendenciaIA.csv;TendenciaLeverage.csv;TendenciaMargemCFO.csv;TendenciaMargemEBIT.csv;TendenciaMargemEstoques.csv;TendenciaMargemLucro.csv;TendenciaMargemROA.csv;TendenciaMargemROE.csv;TendenciaMargemSGACOGSSales.csv;TendenciaMargemTurn.csv
ABEV3;0.17854;0.06843;-0.25892;NaN;0.027565;-0.84495;-0.38421;-1;NaN;-0.40101;-0.90727;-0.84805;-1;0.075707;0.28136;0.3082;0.27481;-0.045901;0.16779;-0.67128;NaN;-0.64594;-0.51297;-0.40717;-0.58335;0.0064283;0.1906;-0.0047254;-0.29098;0.14945;0.28617;-1;-0.14694;0.10947;0.28136;-1;0.080273;0.040792;0.055486;0.084031;0.07763
ABRE11;1;1;1;0.079154;-1;0.031017;-0.062496;0.04855;0.14361;-0.55992;-0.22267;-0.53203;0.22461;1;0.055215;-0.43835;-0.22115;1;0.16816;-0.23302;0.14337;-0.50631;-0.15392;-0.18962;-0.080302;-0.66021;-0.44367;1;0.61227;0.84823;-0.39384;-1;0.24869;-0.42632;0.055215;0.3636;-0.007352;0.015528;0.027858;-0.13354;0.36032
ABYA3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
ACES4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AEDU3;0.048768;-1;0.20428;0.017822;-0.39757;0.017667;0.074733;-0.069641;-0.53812;-0.79412;-0.62129;-0.62141;-0.39998;0.0108;-0.060039;0.58932;0.27681;0.075932;0.1682;-0.45584;0.12809;-0.55336;-0.041858;-0.16428;-0.419;-0.6916;-0.75406;0.18808;0.10182;0.15458;-0.2502;0.34937;-0.38504;0.058676;-0.060039;0.33512;-0.10389;-0.15107;-0.091083;-0.29833;0.63474
AELP3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AESL3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AFLT3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AFLU3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AGEI3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
